CASES;Measles Cases
PRCP;Precipitation
TMIN;Temperature, Low
TMAX;Temperature, High
TOTPOP;Population
URBPOP;Population, Urban
RURPOP;Population, Rural
MTOT;Population, Male
FTOT;Population, Female
NWMTOT;Population, Male, Caucasian, Native-Born
NWFTOT;Population, Female, Caucasian, Native-Born
NWNPTOT;Population, Caucasian, Native-Born, Native-Born Parents
NWFPTOT;Population, Caucasian, Native-Born, Foreign Parents
NWMPTOT;Population, Caucasian, Native-Born, Mixed Parentage
FBWMTOT;Population, Male, Caucasian, Foreign-Born
FBWFTOT;Population, Female, Caucasian, Foreign-Born
BLMTOT;Population, Male, African-American
BLFTOT;Population, Female, African-American
OTHRACES;Population, Native Americans
