ACCROP,  Total acres cropland 
ACCTEN,  Acres in cash tenant farms 
ACFAILUR,  # acres w/ crop failure 
ACFOWN,  Acres in full owner farms 
ACHARVES,  # acres cropland harvested 
ACIDLE,  # acres idle/fallow land 
ACIMP,  # improved acres farmland 
ACIMPMAN,  Improved acres/managed farms 
ACIMPOWN,  Improved acres/owner-operated farms 
ACIMPTEN,  Improved acres/tenant farms 
ACMAN,  Acres in manager-operated farms 
ACOTEN,  Acres in other tenant farms 
ACOTH,  # other acres farms 
ACPASTUR,  # acres pasture land 
ACPOWN,  Acres in part owner farms 
ACRES,  # acres in farms 
ACRESMAN,  Acres in manager-operated farms 
ACRESOWN,  Acres in owner-operated farms 
ACRESTEN,  Acres in tenant farms 
ACTEN,  Acres in tenant farms 
ACUNIOTH,  # other unimproved acres farms 
ACWOODS,  # acres in woodland in farms 
AREA,  Area (square miles) 
AREAAC,  Approx area in acres 
BLF0,  Negro females aged 0 
BLF0_4,  Negro females aged 0-4 
BLF1014,  Negro females aged 10-14 
BLF1519,  Negro females aged 15-19 
BLF2024,  Negro females aged 20-24 
BLF21_,  Negro females aged 21+ 
BLF2529,  Negro females aged 25-29 
BLF3034,  Negro females aged 30-34 
BLF3544,  Negro females aged 35-44 
BLF4554,  Negro females aged 45-54 
BLF5564,  Negro females aged 55-64 
BLF5_9,  Negro females  aged 5-9 
BLF6574,  Negro females aged 65-74 
BLF75_,  Negro females aged 75+ 
BLFTOT,  Negro females all ages 
BLFUNK,  Negro females unknown ages 
BLM0,  Negro males aged 0 
BLM0_4,  Negro males aged 0-4 
BLM1014,  Negro males aged 10-14 
BLM1519,  Negro males aged 15-19 
BLM2024,  Negro males aged 20-24 
BLM21_,  Negro males aged 21+ 
BLM2529,  Negro males aged 25-29 
BLM3034,  Negro males aged 30-34 
BLM3544,  Negro males aged 35-44 
BLM4554,  Negro males aged 45-54 
BLM5564,  Negro males aged 55-64 
BLM5_9,  Negro males aged 5-9 
BLM6574,  Negro males aged 65-74 
BLM75_,  Negro males aged 75+ 
BLMTOT,  Negro males all ages 
BLMUNK,  Negro males unknown ages 
BLTOT,  Total Negro population
CEREALVA,  Value of cereals 
CH0,  Families having no children under age 10 
CH1,  Families having 1 child under age 10 
CH1FBW,  Families w/ foreign-born white head having 1 child under age 10 
CH1NEG,  Families w/ negro head having 1 child under age 10 
CH1NW,  Families w/ native white head having 1 child under age 10 
CH2,  Families having 2 children under age 10 
CH2FBW,  Families w/ foreign-born white head having 2 children under age 10 
CH2NEG,  Families w/ negro head having 2 children under age 10 
CH2NW,  Families w/ native white head having 2 children under age 10 
CH3,  Families having 3 children under age 10 
CH3_FBW,  
CH3_NEG,  Families w/ negro head having 3 or more children under age 10 
CH3_NW,  Families w/ native white head having 3 or more children under age 10 
CH4_,  Families having 4 or more children under age 10 
CHOFBW,  Families w/ foreign-born white head having no children under age 10 
CHONEG,  Families w/ negro head having no children under age 10 
CHONW,  Families w/ native white head having no children under age 10 
COUNTY,  ICPSR county code 
CROPVAL,  Value of all crops 
DENSITY,  Population per square mile 
DWELL,  # dwellings 
DWELL1,  Dwellings with 1 family 
DWELL2,  Dwellings with 2 families 
DWELL3_,  Dwellings with 3 or more families 
DWELLTOT,  Total dwellings
EMERGNEF,  Negro female emergency workers  
EMERGNEM,  Negro male emergency workers 
EMERGTOT,  Total regis emergency workers 
EMERGWF,  White female emergency workers 
EMERGWM,  White male emergency workers 
EMFARTOT,  Total farm emergency workers 
EMNFATOT,  Total nonfarm emergency workers 
EMUNKTOT,  Total emergency workers residence unknown 
EQVACTEN,  Value equipment cash tenant farms 
EQVAFOWN,  Value equipment fully owned farms 
EQVALMAN,  Value equipment managed farms 
EQVALTEN,  Value equipment tenant farms 
EQVAOTEN,  Value equipment other tenant farms 
EQVAPOWN,  Value equipment part owned farms 
F0,  Total females aged 0 
F0_4,  Total females aged 0-4 
F1014,  Total females aged 10-14 
F15,  Female population 15+ 
F1519,  Total females aged 15-19 
F15DIVOR,  Divorced female population 15+ 
F15MARR,  Married female population 15+ 
F15SINGL,  Single female population 15+ 
F15UNKMS,  Females 15+ unknown marital status 
F15WIDOW,  Widowed female population 15+ 
F1844,  Females aged 18-44 
F2024,  Total females aged 20-24 
F21,  Female population 21+ 
F21_,  Total females aged 21+ 
F2529,  Total females aged 25-29 
F3034,  Total females aged 30-34 
F3544,  Total females aged 35-44 
F4554,  Total females aged 45-54 
F5564,  Total females aged 55-64 
F5_9,  Total females aged 5-9 
F6574,  Total females aged 65-74 
F75_,  Total females aged 75+ 
FACO02,  # farms <3 acres colored farmers 
FACO100,  # farms 100-174 acres colored farmers 
FACO1000,  # farms 1000+ acres colored farmers 
FACO1019,  # farms 10-19 acres colored farmers 
FACO175,  # farms 175-259 acres colored farmers 
FACO2049,  # farms 20-49 acres colored farmers 
FACO260,  # farms 260-499 acres colored farmers 
FACO39,  # farms 3-9 acres colored farmers 
FACO500,  # farms 500-999 acres colored farmers 
FACO5099,  # farms 50-99 acres colored farmers 
FACOCST,  # farms colored cash share tenants 
FACOCTEN,  # farms colored cash tenants 
FACOUTEN,  # colored farms unknown tenure 
FAFBWTEN,  # farms foreign white tenants 
FAM1,  Families with 1 person 
FAM10,  Families with 10 persons 
FAM11,  Families with 11 persons 
FAM12_,  Families with 12 or more persons 
FAM2,  Families with 2 persons 
FAM3,  Families with 3 persons 
FAM4,  Families with 4 persons 
FAM5,  Families with 5 persons 
FAM6,  Families with 6 persons 
FAM7,  Families with 7 persons 
FAM8,  Families with 8 persons 
FAM9,  Families with 9 persons 
FAMFBW,  Families w/ foreign-born white head 
FAMILIES,  # families 
FAMNEG,  Families w/ negro head 
FAMNW,  Families w/ native white head 
FAMNWFMP,  Families w/ native white/foreign or mixed parentage head 
FAMNWNP,  Families w/ native white/native parentage head 
FAMOTH,  Families w/ other race head 
FAMTOT,  Total families
FANEGTEN,  # farms Negro/other tenants 
FANWTEN,  # farms native white tenants 
FAOFBW,  Owner families w/ foreign-born white head 
FAONEG,  Owner families w/ negro head 
FAONW,  Owner families w/ native white head 
FAONWFMP,  Owner families w/ native white/foreign or mixed parentage head 
FAONWNP,  Owner families w/ native white/native parentage head 
