start_date,end_date,country,state,county,city,cases,precip,tmin,tmax
1920-01-01,1920-01-07,United States,SC,CHARLESTON,CHARLESTON,4,7,33.85714286,48.57142857
1920-01-08,1920-01-14,United States,SC,CHARLESTON,CHARLESTON,3,18,46.28571429,61.85714286
1920-01-15,1920-01-21,United States,SC,CHARLESTON,CHARLESTON,10,19,46,65.14285714
1920-01-22,1920-01-28,United States,SC,CHARLESTON,CHARLESTON,11,116,47.28571429,60.71428571
1920-01-29,1920-02-04,United States,SC,CHARLESTON,CHARLESTON,8,126,42.14285714,56.85714286
1920-02-05,1920-02-11,United States,SC,CHARLESTON,CHARLESTON,2,6,42.14285714,55.85714286
1920-02-12,1920-02-18,United States,SC,CHARLESTON,CHARLESTON,1,19,46.28571429,59.28571429
1920-02-19,1920-02-25,United States,SC,CHARLESTON,CHARLESTON,1,12,49.85714286,64.42857143
1920-02-26,1920-03-04,United States,SC,CHARLESTON,CHARLESTON,3,125,55.57142857,70.42857143
1920-03-05,1920-03-11,United States,SC,CHARLESTON,CHARLESTON,7,2,62.14285714,77.14285714
1920-03-12,1920-03-18,United States,SC,CHARLESTON,CHARLESTON,3,57,58.71428571,74.71428571
1920-03-19,1920-03-25,United States,SC,CHARLESTON,CHARLESTON,3,21,65,79.14285714
1920-03-26,1920-04-01,United States,SC,CHARLESTON,CHARLESTON,3,137,63.71428571,74.57142857
1920-04-02,1920-04-08,United States,SC,CHARLESTON,CHARLESTON,1,20,60.42857143,72.28571429
1920-04-09,1920-04-15,United States,SC,CHARLESTON,CHARLESTON,1,13,67.85714286,78.28571429
1920-04-16,1920-04-22,United States,SC,CHARLESTON,CHARLESTON,3,83,68.14285714,76.57142857
1920-04-23,1920-04-29,United States,SC,CHARLESTON,CHARLESTON,1,105,68.85714286,77.28571429
1920-04-30,1920-05-06,United States,SC,CHARLESTON,CHARLESTON,6,156,72.57142857,84.14285714
1920-05-07,1920-05-13,United States,SC,CHARLESTON,CHARLESTON,2,25,71,84.71428571
1920-05-14,1920-05-20,United States,SC,CHARLESTON,CHARLESTON,12,89,74.71428571,84.71428571
1920-05-21,1920-05-27,United States,SC,CHARLESTON,CHARLESTON,14,88,73,88.14285714
1920-05-28,1920-06-03,United States,SC,CHARLESTON,CHARLESTON,12,29,73.71428571,85.71428571
